data_comp,model,item_feat,user_feat,components,num_epochs,learning_rate,Acc@1,Acc@5,Acc@10,Acc@50,Acc@100,MeanAcc,Coverage,Personalization,Novelty,ColdProb,ColdAcc@10,ColdAcc@50,ColdAcc@100,Training Time,Evaluation Time
UsersEmotions,lm_results,none,none,30,10,0.05,1.0919,5.932,11.335,40.7024,57.7105,23.3544,11.79,82.56,4.11,0.0,0.0,0.0,0.0,2.3906,13.349
UsersEmotions,lm_results,none,none,30,20,0.05,0.9455,5.1891,10.3219,38.6538,55.5493,22.1319,19.54,87.13,4.38,0.0,0.0,0.0,0.0,4.3125,13.3281
UsersEmotions,lm_results,none,none,30,5,0.1,0.7429,4.3899,8.7911,34.3989,50.833,19.8312,18.97,85.52,4.32,0.0,0.0,0.0,0.0,1.1562,13.3594
UsersEmotions,lm_results,none,none,30,10,0.1,0.7542,4.0185,8.5547,33.2733,50.0338,19.3269,28.21,89.32,4.59,0.0,0.0,0.0,0.0,2.0312,13.3593
UsersEmotions,lm_results,none,none,30,20,0.1,0.7317,4.0522,8.1157,30.9095,47.805,18.3228,35.49,92.06,4.88,0.0,0.0,0.0,0.0,3.5,13.3281
UsersEmotions,lm_results,none,none,30,5,0.15,0.6979,3.647,7.3728,29.6938,45.2274,17.3278,36.72,87.79,4.63,0.0825,0.0,0.1754,0.1754,1.0938,13.375
UsersEmotions,lm_results,none,none,30,10,0.15,0.6979,3.3093,6.81,28.7371,45.5088,17.0126,41.74,91.76,4.99,0.0325,0.0,0.0,0.0,1.8906,13.3437
UsersEmotions,lm_results,none,none,30,20,0.15,0.4953,3.3431,7.0351,29.0297,45.385,17.0576,45.79,93.18,5.13,0.0158,0.0,0.0,0.0,3.2656,13.3125
UsersEmotions,lm_results,none,none,30,5,0.2,0.2139,1.5984,3.647,17.8748,30.4367,10.7542,30.92,87.46,6.65,6.8133,0.0,1.0526,1.9298,1.2344,13.375
UsersEmotions,lm_results,none,none,30,10,0.2,0.4277,2.4764,5.2679,23.3679,38.136,13.9352,36.36,86.6,5.36,2.4342,0.0,0.3509,0.8772,2.0156,13.3594
UsersEmotions,lm_results,none,none,30,20,0.2,0.5178,3.0504,5.842,23.7731,38.9802,14.4327,42.46,88.96,5.15,1.5633,0.0,0.1754,0.1754,3.5781,13.375
UsersEmotions,lm_results,none,none,30,5,0.3,0.0,0.09,0.1463,1.2494,2.4876,0.7947,11.38,81.86,9.91,25.3408,0.7018,3.6842,6.3158,1.625,13.4375
UsersEmotions,lm_results,none,none,30,10,0.3,0.0,0.0788,0.2026,1.2382,2.7578,0.8555,12.51,82.42,9.98,26.5675,0.3509,3.5088,6.1404,3.2344,13.4062
UsersEmotions,lm_results,none,none,30,20,0.3,0.0,0.0675,0.1688,1.2494,2.9154,0.8802,10.77,78.74,10.23,26.31,0.7018,3.1579,6.4912,6.4375,13.4062
UsersEmotions,lm_results,none,user_all,30,5,0.01,1.0919,3.4444,6.5398,27.9154,44.2031,16.6389,0.51,0.0,3.34,0.0,0.0,0.0,0.0,17.4844,37.8437
UsersEmotions,lm_results,none,user_all,30,10,0.01,1.0919,3.2868,6.3035,27.4651,44.0905,16.4476,0.51,0.0,3.31,0.0,0.0,0.0,0.0,34.7656,37.8593
UsersEmotions,lm_results,none,user_all,30,20,0.01,1.0919,3.4444,6.6074,27.9716,43.9217,16.6074,0.51,0.0,3.31,0.0,0.0,0.0,0.0,70.9918,38.1875
UsersEmotions,lm_results,none,user_all,30,5,0.05,1.0919,3.4444,6.3823,27.8028,43.8429,16.5129,0.72,0.25,3.36,0.0,0.0,0.0,0.0,17.5468,37.9062
UsersEmotions,lm_results,none,user_all,30,10,0.05,1.0693,2.7803,6.7087,27.8816,44.0905,16.5061,0.62,5.0,3.32,0.0,0.0,0.0,0.0,34.9531,37.9218
UsersEmotions,lm_results,none,user_all,30,20,0.05,1.1144,4.3449,7.0351,29.2548,45.4863,17.4471,1.03,10.97,3.33,0.0,0.0,0.0,0.0,70.0756,38.1093
UsersEmotions,lm_results,none,user_all,30,5,0.1,0.6191,4.6038,8.8586,32.0014,48.0414,18.8249,1.49,35.14,3.48,0.0,0.0,0.0,0.0,17.5468,37.875
UsersEmotions,lm_results,none,user_all,30,10,0.1,1.2494,6.8325,12.8658,40.4435,55.6056,23.3994,3.69,65.11,3.71,0.0,0.0,0.0,0.0,34.9843,37.8281
UsersEmotions,lm_results,none,user_all,30,20,0.1,1.8348,8.1607,15.2859,44.8334,60.1981,26.0626,6.77,76.63,3.92,0.0,0.0,0.0,0.0,67.4999,37.7724
UsersEmotions,lm_results,none,user_all,30,5,0.15,1.4295,7.3503,13.7551,41.8055,57.643,24.3967,4.62,69.96,3.77,0.0,0.0,0.0,0.0,17.2969,37.7968
UsersEmotions,lm_results,none,user_all,30,10,0.15,2.1612,9.1513,16.2427,45.9253,61.0423,26.9046,7.74,78.61,3.98,0.0,0.0,0.0,0.0,33.3281,37.7343
UsersEmotions,lm_results,none,user_all,30,20,0.15,2.4426,10.7947,18.7078,49.0995,63.7213,28.9532,11.38,83.6,4.13,0.0,0.0,0.0,0.0,64.4062,37.7187
UsersEmotions,lm_results,none,user_all,30,5,0.2,1.9698,9.14,15.905,45.6664,60.3107,26.5984,6.77,78.13,3.98,0.0,0.0,0.0,0.0,16.8125,37.7499
UsersEmotions,lm_results,none,user_all,30,10,0.2,2.1274,10.3557,18.3476,47.8838,63.2598,28.3949,10.62,82.42,4.11,0.0,0.0,0.0,0.0,32.5312,37.8906
UsersEmotions,lm_results,none,user_all,30,20,0.2,2.679,11.3913,19.8222,50.4728,64.8582,29.8447,15.54,85.75,4.27,0.0,0.0,0.0,0.0,62.453,37.7343
UsersEmotions,lm_results,none,user_all,30,5,0.3,2.6002,10.6371,18.0662,47.3098,62.3368,28.19,10.67,81.73,4.15,0.0,0.0,0.0,0.0,16.0781,39.2469
UsersEmotions,lm_results,none,user_all,30,10,0.3,2.4876,11.1999,19.6983,50.2927,64.2503,29.5858,13.95,85.09,4.25,0.0,0.0,0.0,0.0,31.4531,37.7864
UsersEmotions,lm_results,none,user_all,30,20,0.3,3.0617,12.7082,21.6119,52.1724,66.1414,31.1391,21.28,88.75,4.46,0.0,0.0,0.0,0.0,59.2812,37.7968
UsersEmotions,lm_results,item,none,30,5,0.01,0.5178,3.1292,5.7407,16.6141,23.5592,9.9122,1.13,9.17,3.93,0.0,0.0,0.0,0.0,5.0469,14.6093
UsersEmotions,lm_results,item,none,30,10,0.01,1.0919,3.0955,7.1027,22.1297,32.8793,13.2598,1.85,7.58,3.57,0.0867,0.0,0.0,0.3509,9.8125,14.5781
UsersEmotions,lm_results,item,none,30,20,0.01,1.0919,3.4557,6.6074,26.2607,40.8487,15.6529,1.95,8.39,3.41,0.2658,0.1754,1.0526,1.7544,18.625,14.5781
UsersEmotions,lm_results,item,none,30,5,0.05,0.6866,4.0522,7.6092,30.7744,48.0864,18.2418,2.56,40.25,3.46,0.0017,0.0,0.0,0.0,4.2344,14.5781
UsersEmotions,lm_results,item,none,30,10,0.05,0.6979,4.3449,8.6673,33.4872,50.1351,19.4665,3.95,51.68,3.55,0.0375,0.0,0.0,0.3509,7.8594,14.5469
UsersEmotions,lm_results,item,none,30,20,0.05,1.1256,5.2566,10.412,37.0216,54.8627,21.7357,6.97,66.78,3.73,0.06,0.0,0.1754,0.7018,14.6875,14.5156
UsersEmotions,lm_results,item,none,30,5,0.1,1.0919,5.8532,10.6371,36.6952,54.4912,21.7537,6.92,68.62,3.77,0.0458,0.0,0.1754,0.1754,3.8437,14.5156
UsersEmotions,lm_results,item,none,30,10,0.1,1.1819,6.2697,11.7627,40.4097,57.6542,23.4556,10.67,78.81,4.01,0.0108,0.0,0.0,0.0,6.9219,14.4531
UsersEmotions,lm_results,item,none,30,20,0.1,1.2607,6.3597,11.8528,40.8149,58.0369,23.665,14.62,84.52,4.22,0.02,0.0,0.0,0.0,12.6584,14.4375
UsersEmotions,lm_results,item,none,30,5,0.15,1.2607,5.9095,11.2337,39.6443,56.855,22.9806,10.51,78.77,4.01,0.0367,0.0,0.0,0.0,3.5625,14.4844
UsersEmotions,lm_results,item,none,30,10,0.15,1.2382,5.9883,11.2674,39.9482,56.5961,23.0076,16.21,85.2,4.27,0.02,0.0,0.0,0.1754,6.3906,14.4219
UsersEmotions,lm_results,item,none,30,20,0.15,0.9568,5.3917,10.6596,37.5056,54.2661,21.756,23.64,89.63,4.54,0.0067,0.0,0.0,0.0,11.2343,14.4219
UsersEmotions,lm_results,item,none,30,5,0.2,1.2269,5.7519,11.2224,39.3291,56.855,22.8771,14.51,84.32,4.22,0.0108,0.0,0.0,0.0,3.3906,14.4375
UsersEmotions,lm_results,item,none,30,10,0.2,1.1144,5.5718,10.4795,37.6294,54.8852,21.9361,22.21,88.56,4.49,0.01,0.0,0.0,0.0,5.9062,14.4375
UsersEmotions,lm_results,item,none,30,20,0.2,0.878,4.3336,8.9374,34.9392,51.8685,20.1913,32.67,91.27,4.75,0.0042,0.0,0.0,0.0,10.0937,14.4375
UsersEmotions,lm_results,item,none,30,5,0.3,0.7767,4.7614,9.4102,35.1306,52.1499,20.4458,25.18,89.41,4.59,0.0067,0.0,0.0,0.0,3.0781,14.4531
UsersEmotions,lm_results,item,none,30,10,0.3,0.8217,4.3111,8.8361,33.4084,49.2008,19.3156,34.31,91.83,4.84,0.0083,0.0,0.0,0.0,5.1406,14.3906
UsersEmotions,lm_results,item,none,30,20,0.3,0.7429,3.6245,7.7443,31.2472,47.9514,18.2621,38.56,93.24,5.02,0.0083,0.0,0.0,0.0,8.5781,14.4062
UsersEmotions,lm_results,item,user_all,30,5,0.01,1.0919,4.0072,6.5511,27.8816,44.1918,16.7447,0.51,0.0,3.32,0.0,0.0,0.0,0.0,20.5937,38.9374
UsersEmotions,lm_results,item,user_all,30,10,0.01,0.0338,3.4444,6.1121,27.7353,44.0455,16.2742,0.51,0.0,3.33,0.0,0.0,0.0,0.0,40.0949,38.8593
UsersEmotions,lm_results,item,user_all,30,20,0.01,1.0919,3.4444,6.6074,28.0054,43.7866,16.5871,0.51,0.0,3.31,0.0,0.0,0.0,0.0,79.453,38.8749
UsersEmotions,lm_results,item,user_all,30,5,0.05,1.0919,2.7127,5.9883,27.6565,44.0792,16.3057,0.51,0.0,3.37,0.0,0.0,0.0,0.0,19.8437,39.0
UsersEmotions,lm_results,item,user_all,30,10,0.05,1.0919,4.0072,6.326,27.814,44.3269,16.7132,0.56,0.05,3.31,0.0,0.0,0.0,0.0,39.5937,38.9062
UsersEmotions,lm_results,item,user_all,30,20,0.05,1.0581,3.0504,7.2828,28.4669,44.991,16.9698,0.72,10.0,3.33,0.0,0.0,0.0,0.0,79.1882,38.9062
UsersEmotions,lm_results,item,user_all,30,5,0.1,0.0338,3.4782,6.3597,28.0279,44.158,16.4115,0.67,5.46,3.32,0.0,0.0,0.0,0.0,19.875,38.875
UsersEmotions,lm_results,item,user_all,30,10,0.1,0.4728,4.615,8.9487,32.9131,48.3679,19.0635,1.38,32.94,3.42,0.0,0.0,0.0,0.0,39.6562,38.875
UsersEmotions,lm_results,item,user_all,30,20,0.1,1.0131,6.1909,11.0986,36.3688,52.4538,21.425,2.46,54.46,3.54,0.0,0.0,0.0,0.0,78.5496,38.8281
UsersEmotions,lm_results,item,user_all,30,5,0.15,1.1706,4.3899,7.688,30.1328,46.8483,18.0459,1.23,14.25,3.33,0.0,0.0,0.0,0.0,19.9375,38.9218
UsersEmotions,lm_results,item,user_all,30,10,0.15,1.2382,6.2922,11.7852,38.665,53.9959,22.3953,3.23,57.35,3.58,0.0,0.0,0.0,0.0,39.5781,38.8593
UsersEmotions,lm_results,item,user_all,30,20,0.15,1.3507,7.1139,13.5975,42.7735,58.2283,24.6128,4.36,72.93,3.81,0.0,0.0,0.0,0.0,78.5981,38.7934
UsersEmotions,lm_results,item,user_all,30,5,0.2,1.0468,5.0653,9.4665,34.1963,49.8199,19.919,1.74,39.56,3.47,0.0,0.0,0.0,0.0,19.9375,38.8437
