data_comp,model,item_feat,user_feat,layer_size_list,embedding_size,learning_rate,epochs,Acc@1,Acc@5,Acc@10,Acc@50,Acc@100,MeanAcc,RMSE,Coverage,Personalisation,Novelty,ColdProb,ColdAcc@10,ColdAcc@50,ColdAcc@100,Training Time,Evaluation Time
(batch size 2048 / 4096)
UsersEmotions,2tnn_results,Yes,Yes,[32],64,0.1,4,0.4728,2.8703,5.932,22.7262,34.6916,13.3386,0.2006,47.23,98.0,7.44,0.0,0.0,0.0,0.1754,31.7968,15.25
UsersEmotions,2tnn_results,Yes,Yes,[32],64,0.2,20,0.0563,0.9343,2.724,18.5164,32.6092,10.968,0.1474,76.82,99.0,7.93,0.0,0.0,0.0,0.0,146.078,14.8437
UsersAll,2tnn_results,No,No,[16],16,0.01,3,0.5305,2.7721,4.7116,16.8831,26.2898,10.2374,0.1894,7.81,57.99999999999999,4.88,0.0042,0.0,0.0,0.0,81.6195,12.25
UsersAll,2tnn_results,No,No,[16],16,0.1,9,0.3629,2.5511,5.2495,21.7587,35.2176,13.0279,0.1426,68.1,99.0,6.3,0.0,0.0,0.0,0.0,239.4926,12.1562
UsersAll,2tnn_results,No,No,[16],16,0.2,20,0.3058,2.0943,4.6932,21.5026,35.7776,12.8747,0.1269,78.77,99.0,6.5,0.0,0.0,0.0,0.0,519.7025,11.4062
UsersAll,2tnn_results,No,No,[32],16,0.01,3,0.4107,2.4092,4.0743,16.6455,27.6068,10.2293,0.1893,8.21,56.00000000000001,4.87,0.0017,0.0,0.0238,0.0238,77.4224,11.375
UsersAll,2tnn_results,No,No,[32],16,0.1,7,0.4218,2.6432,5.2845,21.8121,35.2453,13.0814,0.1469,67.1,99.0,6.21,0.0,0.0,0.0,0.0,181.501,11.7187
UsersAll,2tnn_results,No,No,[32],16,0.2,7,0.4015,2.4921,5.0763,21.4455,34.9192,12.867,0.1397,66.6,99.0,6.25,0.0,0.0,0.0,0.0,181.6963,11.4375
UsersAll,2tnn_results,Yes,No,[16],16,0.01,3,0.2855,1.4035,2.7776,13.6634,25.3025,8.6865,0.1864,10.52,80.0,5.83,0.0358,0.0,0.1191,0.3573,123.5155,13.1719
UsersAll,2tnn_results,Yes,No,[16],16,0.1,6,0.3997,2.6284,5.4429,22.361,35.9212,13.3506,0.1454,67.5,99.0,6.24,0.0017,0.0,0.0476,0.1667,244.3913,13.125
UsersAll,2tnn_results,Yes,No,[16],16,0.2,6,0.4052,2.5437,5.2937,22.0902,35.7702,13.2206,0.1415,69.0,99.0,6.25,0.0,0.0,0.0238,0.0953,245.4776,13.0781
UsersAll,2tnn_results,Yes,No,[32],16,0.01,20,0.4126,2.4516,4.9585,19.2555,30.9075,11.5971,0.1604,53.28,98.0,6.04,0.0817,0.0238,0.4288,1.2625,817.6837,13.0937
UsersAll,2tnn_results,Yes,No,[32],16,0.1,7,0.3536,2.5198,5.2624,22.1252,35.9433,13.2409,0.1463,72.46,99.0,6.32,0.0008,0.0,0.0715,0.2859,288.1374,13.125
UsersAll,2tnn_results,Yes,No,[32],16,0.2,6,0.3205,2.3724,4.9824,21.3295,34.9487,12.7907,0.1425,71.11,99.0,6.31,0.0,0.0,0.0476,0.2144,247.7204,13.1406
UsersAll,2tnn_results,No,Yes,[16],16,0.01,3,0.0553,0.4163,1.2875,10.5561,22.0202,6.8671,0.1885,7.01,62.0,6.37,0.005,0.0,0.0,0.0238,77.328,16.2656
UsersAll,2tnn_results,No,Yes,[16],16,0.1,6,0.4034,2.7095,5.4668,22.1878,35.6947,13.2924,0.1474,67.45,99.0,6.24,0.0,0.0,0.0,0.0,156.6483,16.1072
UsersAll,2tnn_results,No,Yes,[16],16,0.2,12,0.3389,2.2674,4.8387,21.6518,35.7168,12.9627,0.1329,77.22,99.0,6.45,0.0,0.0,0.0,0.0,311.8099,15.9531
UsersAll,2tnn_results,No,Yes,[32],16,0.01,3,0.0516,0.5213,1.4312,10.5119,21.79,6.8612,0.1862,6.91,62.0,6.28,0.0008,0.0,0.0,0.0238,78.5311,15.9687
UsersAll,2tnn_results,No,Yes,[32],16,0.1,8,0.42,2.5013,5.2145,22.0202,35.8605,13.2033,0.1439,73.11,99.0,6.33,0.0,0.0,0.0,0.0,209.5779,15.9687
UsersAll,2tnn_results,No,Yes,[32],16,0.2,20,0.2045,1.7775,4.1628,21.1656,36.041,12.6702,0.1277,80.22,99.0,6.54,0.0,0.0,0.0,0.0,520.1869,15.9531
UsersAll,2tnn_results,Yes,Yes,[16],16,0.01,3,0.4034,1.6522,3.507,15.5643,27.045,9.6344,0.1859,11.97,79.0,5.62,0.0058,0.0238,0.0238,0.1191,124.7835,17.6875
UsersAll,2tnn_results,Yes,Yes,[16],16,0.1,6,0.42,2.6855,5.5037,22.1105,35.6228,13.2685,0.15,65.65,99.0,6.23,0.0,0.0,0.0238,0.2859,246.6872,17.6875
UsersAll,2tnn_results,Yes,Yes,[16],16,0.2,20,0.2247,1.8401,4.4298,21.7218,36.577,12.9587,0.1272,80.32,99.0,6.54,0.0,0.0,0.0,0.0238,818.1117,17.6719
UsersAll,2tnn_results,Yes,Yes,[32],16,0.01,19,0.4273,2.82,5.6547,21.3129,33.8583,12.8146,0.1623,59.04,98.0,6.04,0.0192,0.0,0.1191,0.5002,779.4852,17.6562
UsersAll,2tnn_results,Yes,Yes,[32],16,0.1,5,0.431,2.6966,5.5902,22.5083,36.0207,13.4494,0.1553,66.75,99.0,6.2,0.0058,0.0,0.1429,0.3335,207.0154,17.6875
UsersAll,2tnn_results,Yes,Yes,[32],16,0.2,20,0.21,1.829,4.253,21.3479,36.0207,12.7321,0.1277,80.47,99.0,6.56,0.0,0.0,0.0,0.0,821.1811,17.6719
UsersAll,2tnn_results,No,No,[16],32,0.01,12,0.4107,2.3319,4.5643,18.7158,31.7364,11.5518,0.1697,32.25,97.0,5.99,0.0,0.0,0.0,0.0,308.7652,13.7344
UsersAll,2tnn_results,No,No,[16],32,0.1,6,0.42,2.5916,5.3342,22.2818,35.8512,13.2958,0.1457,68.25,99.0,6.29,0.0,0.0,0.0,0.0,156.5936,14.1562
UsersAll,2tnn_results,No,No,[16],32,0.2,5,0.3942,2.6211,5.1813,21.1453,34.4127,12.7509,0.1437,62.09,99.0,6.18,0.0,0.0,0.0,0.0,130.8592,13.8437
UsersAll,2tnn_results,No,No,[32],32,0.01,13,0.466,2.6561,4.9087,18.9497,31.0659,11.6093,0.1743,29.04,97.0,5.88,0.0,0.0,0.0,0.0,336.9215,14.625
UsersAll,2tnn_results,No,No,[32],32,0.1,6,0.3942,2.5382,5.1463,21.4382,35.2342,12.9502,0.1491,69.6,99.0,6.2,0.0,0.0,0.0,0.0,157.3568,13.7812
